"Hospital Name","Address","City","District","Contact Number","Email","Type"
"Hospital 1","Address 1, Jharsuguda","Sambalpur","Balasore","+91-7733692782","hospital1@example.com","Government"
"Hospital 2","Address 2, Bhubaneswar","Cuttack","Balasore","+91-7858711781","hospital2@example.com","Government"
"Hospital 3","Address 3, Cuttack","Angul","Ganjam","+91-7816107600","hospital3@example.com","Government"
"Hospital 4","Address 4, Rourkela","Angul","Sambalpur","+91-7123667726","hospital4@example.com","Government"
"Hospital 5","Address 5, Puri","Rourkela","Sambalpur","+91-7699636248","hospital5@example.com","Government"
"Hospital 6","Address 6, Berhampur","Puri","Sundargarh","+91-7459056656","hospital6@example.com","Government"
"Hospital 7","Address 7, Balasore","Bhubaneswar","Mayurbhanj","+91-7839561228","hospital7@example.com","Government"
"Hospital 8","Address 8, Angul","Baripada","Ganjam","+91-7320808184","hospital8@example.com","Government"
"Hospital 9","Address 9, Berhampur","Berhampur","Ganjam","+91-7555415968","hospital9@example.com","Government"
"Hospital 10","Address 10, Cuttack","Bhubaneswar","Sambalpur","+91-7405564028","hospital10@example.com","Government"
"Hospital 11","Address 11, Baripada","Rourkela","Ganjam","+91-7474649722","hospital11@example.com","Government"
"Hospital 12","Address 12, Angul","Sambalpur","Ganjam","+91-7158317196","hospital12@example.com","Government"
"Hospital 13","Address 13, Bhubaneswar","Rourkela","Puri","+91-7727170838","hospital13@example.com","Government"
"Hospital 14","Address 14, Bhubaneswar","Puri","Cuttack","+91-7614967391","hospital14@example.com","Government"
"Hospital 15","Address 15, Puri","Bhubaneswar","Jharsuguda","+91-7701496486","hospital15@example.com","Government"
"Hospital 16","Address 16, Sambalpur","Berhampur","Jharsuguda","+91-7100058814","hospital16@example.com","Government"
"Hospital 17","Address 17, Rourkela","Angul","Khordha","+91-7720149774","hospital17@example.com","Government"
"Hospital 18","Address 18, Balasore","Sambalpur","Mayurbhanj","+91-7491908360","hospital18@example.com","Government"
"Hospital 19","Address 19, Sambalpur","Bhubaneswar","Balasore","+91-7234141383","hospital19@example.com","Government"
"Hospital 20","Address 20, Bhubaneswar","Berhampur","Puri","+91-7147128229","hospital20@example.com","Government"
"Hospital 21","Address 21, Cuttack","Cuttack","Puri","+91-7592773088","hospital21@example.com","Government"
"Hospital 22","Address 22, Bhubaneswar","Rourkela","Sundargarh","+91-7491239146","hospital22@example.com","Government"
"Hospital 23","Address 23, Sambalpur","Cuttack","Khordha","+91-7742418844","hospital23@example.com","Government"
"Hospital 24","Address 24, Cuttack","Sambalpur","Cuttack","+91-7670923490","hospital24@example.com","Government"
"Hospital 25","Address 25, Cuttack","Rourkela","Sambalpur","+91-7799799272","hospital25@example.com","Government"
"Hospital 26","Address 26, Bhubaneswar","Bhubaneswar","Balasore","+91-7540402360","hospital26@example.com","Government"
"Hospital 27","Address 27, Rourkela","Balasore","Ganjam","+91-7888096396","hospital27@example.com","Government"
"Hospital 28","Address 28, Baripada","Cuttack","Sambalpur","+91-7861866527","hospital28@example.com","Government"
"Hospital 29","Address 29, Angul","Baripada","Khordha","+91-7554464571","hospital29@example.com","Government"
"Hospital 30","Address 30, Balasore","Puri","Balasore","+91-7418777583","hospital30@example.com","Government"
"Hospital 31","Address 31, Puri","Baripada","Sundargarh","+91-7776128693","hospital31@example.com","Government"
"Hospital 32","Address 32, Bhubaneswar","Berhampur","Jharsuguda","+91-7613618551","hospital32@example.com","Government"
"Hospital 33","Address 33, Baripada","Angul","Mayurbhanj","+91-7187863005","hospital33@example.com","Government"
"Hospital 34","Address 34, Rourkela","Puri","Cuttack","+91-7737368246","hospital34@example.com","Government"
"Hospital 35","Address 35, Berhampur","Angul","Mayurbhanj","+91-7314031886","hospital35@example.com","Government"
"Hospital 36","Address 36, Jharsuguda","Sambalpur","Cuttack","+91-7762579097","hospital36@example.com","Government"
"Hospital 37","Address 37, Angul","Jharsuguda","Balasore","+91-7467804445","hospital37@example.com","Government"
"Hospital 38","Address 38, Bhubaneswar","Cuttack","Balasore","+91-7712036395","hospital38@example.com","Government"
"Hospital 39","Address 39, Bhubaneswar","Cuttack","Mayurbhanj","+91-7241113657","hospital39@example.com","Government"
"Hospital 40","Address 40, Sambalpur","Cuttack","Khordha","+91-7388441917","hospital40@example.com","Government"
"Hospital 41","Address 41, Sambalpur","Sambalpur","Ganjam","+91-7420692406","hospital41@example.com","Government"
"Hospital 42","Address 42, Rourkela","Berhampur","Puri","+91-7587075724","hospital42@example.com","Government"
"Hospital 43","Address 43, Baripada","Berhampur","Mayurbhanj","+91-7816318913","hospital43@example.com","Government"
"Hospital 44","Address 44, Cuttack","Jharsuguda","Sambalpur","+91-7246956387","hospital44@example.com","Government"
"Hospital 45","Address 45, Puri","Angul","Ganjam","+91-7867788190","hospital45@example.com","Government"
"Hospital 46","Address 46, Baripada","Angul","Balasore","+91-7925747122","hospital46@example.com","Government"
"Hospital 47","Address 47, Cuttack","Jharsuguda","Khordha","+91-7669253019","hospital47@example.com","Government"
"Hospital 48","Address 48, Cuttack","Puri","Ganjam","+91-7706280593","hospital48@example.com","Government"
"Hospital 49","Address 49, Rourkela","Bhubaneswar","Mayurbhanj","+91-7360346246","hospital49@example.com","Government"
"Hospital 50","Address 50, Rourkela","Cuttack","Jharsuguda","+91-7983174170","hospital50@example.com","Government"
"Hospital 51","Address 51, Sambalpur","Puri","Jharsuguda","+91-7253258231","hospital51@example.com","Government"
"Hospital 52","Address 52, Puri","Bhubaneswar","Balasore","+91-7807212448","hospital52@example.com","Government"
"Hospital 53","Address 53, Sambalpur","Angul","Sundargarh","+91-7129490786","hospital53@example.com","Government"
"Hospital 54","Address 54, Jharsuguda","Cuttack","Sundargarh","+91-7416890228","hospital54@example.com","Government"
"Hospital 55","Address 55, Rourkela","Berhampur","Khordha","+91-7717190412","hospital55@example.com","Government"
"Hospital 56","Address 56, Baripada","Cuttack","Balasore","+91-7641827225","hospital56@example.com","Government"
"Hospital 57","Address 57, Rourkela","Baripada","Balasore","+91-7215509581","hospital57@example.com","Government"
"Hospital 58","Address 58, Berhampur","Jharsuguda","Jharsuguda","+91-7885575789","hospital58@example.com","Government"
"Hospital 59","Address 59, Jharsuguda","Cuttack","Sambalpur","+91-7570958984","hospital59@example.com","Government"
"Hospital 60","Address 60, Puri","Baripada","Sambalpur","+91-7283409297","hospital60@example.com","Government"
"Hospital 61","Address 61, Puri","Puri","Khordha","+91-7900947170","hospital61@example.com","Government"
"Hospital 62","Address 62, Bhubaneswar","Berhampur","Khordha","+91-7628093733","hospital62@example.com","Government"
"Hospital 63","Address 63, Cuttack","Puri","Mayurbhanj","+91-7366096735","hospital63@example.com","Government"
"Hospital 64","Address 64, Sambalpur","Bhubaneswar","Mayurbhanj","+91-7783554791","hospital64@example.com","Government"
"Hospital 65","Address 65, Cuttack","Puri","Cuttack","+91-7795469358","hospital65@example.com","Government"
"Hospital 66","Address 66, Berhampur","Berhampur","Sambalpur","+91-7184200729","hospital66@example.com","Government"
"Hospital 67","Address 67, Sambalpur","Angul","Cuttack","+91-7831947308","hospital67@example.com","Government"
"Hospital 68","Address 68, Berhampur","Sambalpur","Jharsuguda","+91-7153758053","hospital68@example.com","Government"
"Hospital 69","Address 69, Puri","Balasore","Jharsuguda","+91-7112332472","hospital69@example.com","Government"
"Hospital 70","Address 70, Baripada","Baripada","Angul","+91-7746416351","hospital70@example.com","Government"
"Hospital 71","Address 71, Angul","Berhampur","Khordha","+91-7547051202","hospital71@example.com","Government"
"Hospital 72","Address 72, Puri","Puri","Sundargarh","+91-7898190191","hospital72@example.com","Government"
"Hospital 73","Address 73, Sambalpur","Balasore","Sambalpur","+91-7660055624","hospital73@example.com","Government"
"Hospital 74","Address 74, Cuttack","Cuttack","Ganjam","+91-7531156095","hospital74@example.com","Government"
"Hospital 75","Address 75, Balasore","Bhubaneswar","Sundargarh","+91-7406784046","hospital75@example.com","Government"
"Hospital 76","Address 76, Puri","Bhubaneswar","Jharsuguda","+91-7828930488","hospital76@example.com","Government"
"Hospital 77","Address 77, Sambalpur","Jharsuguda","Sundargarh","+91-7741660126","hospital77@example.com","Government"
"Hospital 78","Address 78, Balasore","Cuttack","Jharsuguda","+91-7781393930","hospital78@example.com","Government"
"Hospital 79","Address 79, Angul","Rourkela","Angul","+91-7148692082","hospital79@example.com","Government"
"Hospital 80","Address 80, Baripada","Jharsuguda","Jharsuguda","+91-7229741048","hospital80@example.com","Government"
"Hospital 81","Address 81, Balasore","Jharsuguda","Angul","+91-7270014992","hospital81@example.com","Government"
"Hospital 82","Address 82, Rourkela","Berhampur","Mayurbhanj","+91-7713731466","hospital82@example.com","Government"
"Hospital 83","Address 83, Cuttack","Rourkela","Ganjam","+91-7207966677","hospital83@example.com","Government"
"Hospital 84","Address 84, Bhubaneswar","Angul","Puri","+91-7341522354","hospital84@example.com","Government"
"Hospital 85","Address 85, Angul","Jharsuguda","Puri","+91-7260101142","hospital85@example.com","Government"
"Hospital 86","Address 86, Cuttack","Puri","Cuttack","+91-7723370252","hospital86@example.com","Government"
"Hospital 87","Address 87, Puri","Berhampur","Cuttack","+91-7537182936","hospital87@example.com","Government"
"Hospital 88","Address 88, Bhubaneswar","Bhubaneswar","Jharsuguda","+91-7346505352","hospital88@example.com","Government"
"Hospital 89","Address 89, Jharsuguda","Cuttack","Balasore","+91-7614131882","hospital89@example.com","Government"
"Hospital 90","Address 90, Cuttack","Rourkela","Jharsuguda","+91-7521458780","hospital90@example.com","Government"
"Hospital 91","Address 91, Bhubaneswar","Puri","Khordha","+91-7893202355","hospital91@example.com","Government"
"Hospital 92","Address 92, Jharsuguda","Angul","Cuttack","+91-7711080738","hospital92@example.com","Government"
"Hospital 93","Address 93, Sambalpur","Jharsuguda","Angul","+91-7356360748","hospital93@example.com","Government"
"Hospital 94","Address 94, Cuttack","Angul","Puri","+91-7886982513","hospital94@example.com","Government"
"Hospital 95","Address 95, Cuttack","Cuttack","Khordha","+91-7135759982","hospital95@example.com","Government"
"Hospital 96","Address 96, Puri","Bhubaneswar","Balasore","+91-7196085839","hospital96@example.com","Government"
"Hospital 97","Address 97, Balasore","Angul","Sundargarh","+91-7809451208","hospital97@example.com","Government"
"Hospital 98","Address 98, Bhubaneswar","Berhampur","Balasore","+91-7645991655","hospital98@example.com","Government"
"Hospital 99","Address 99, Baripada","Berhampur","Angul","+91-7408214307","hospital99@example.com","Government"
"Hospital 100","Address 100, Puri","Rourkela","Mayurbhanj","+91-7594569188","hospital100@example.com","Government"
"Hospital 101","Address 101, Berhampur","Baripada","Jharsuguda","+91-7542679980","hospital101@example.com","Government"
"Hospital 102","Address 102, Berhampur","Rourkela","Puri","+91-7678955840","hospital102@example.com","Government"
"Hospital 103","Address 103, Balasore","Rourkela","Cuttack","+91-7931685500","hospital103@example.com","Government"
"Hospital 104","Address 104, Balasore","Balasore","Puri","+91-7735498290","hospital104@example.com","Government"
"Hospital 105","Address 105, Balasore","Bhubaneswar","Cuttack","+91-7170106007","hospital105@example.com","Government"
"Hospital 106","Address 106, Sambalpur","Baripada","Khordha","+91-7243088254","hospital106@example.com","Government"
"Hospital 107","Address 107, Puri","Bhubaneswar","Puri","+91-7530217577","hospital107@example.com","Government"
"Hospital 108","Address 108, Cuttack","Baripada","Cuttack","+91-7928270512","hospital108@example.com","Government"
"Hospital 109","Address 109, Sambalpur","Balasore","Angul","+91-7731352167","hospital109@example.com","Government"
"Hospital 110","Address 110, Balasore","Angul","Mayurbhanj","+91-7614380797","hospital110@example.com","Government"
"Hospital 111","Address 111, Balasore","Baripada","Puri","+91-7726372578","hospital111@example.com","Government"
"Hospital 112","Address 112, Cuttack","Rourkela","Balasore","+91-7272589858","hospital112@example.com","Government"
"Hospital 113","Address 113, Angul","Berhampur","Sundargarh","+91-7746426502","hospital113@example.com","Government"
"Hospital 114","Address 114, Bhubaneswar","Balasore","Cuttack","+91-7356779352","hospital114@example.com","Government"
"Hospital 115","Address 115, Angul","Puri","Cuttack","+91-7482630957","hospital115@example.com","Government"
"Hospital 116","Address 116, Puri","Rourkela","Ganjam","+91-7162445043","hospital116@example.com","Government"
"Hospital 117","Address 117, Angul","Sambalpur","Puri","+91-7965065495","hospital117@example.com","Government"
"Hospital 118","Address 118, Jharsuguda","Sambalpur","Puri","+91-7471263077","hospital118@example.com","Government"
"Hospital 119","Address 119, Sambalpur","Bhubaneswar","Puri","+91-7970147042","hospital119@example.com","Government"
"Hospital 120","Address 120, Bhubaneswar","Berhampur","Angul","+91-7690039370","hospital120@example.com","Government"
"Hospital 121","Address 121, Angul","Angul","Cuttack","+91-7521638184","hospital121@example.com","Government"
"Hospital 122","Address 122, Jharsuguda","Berhampur","Balasore","+91-7847107111","hospital122@example.com","Government"
"Hospital 123","Address 123, Baripada","Angul","Ganjam","+91-7984792189","hospital123@example.com","Government"
"Hospital 124","Address 124, Bhubaneswar","Angul","Angul","+91-7495773097","hospital124@example.com","Government"
"Hospital 125","Address 125, Puri","Sambalpur","Jharsuguda","+91-7409905836","hospital125@example.com","Government"
"Hospital 126","Address 126, Sambalpur","Bhubaneswar","Khordha","+91-7930847467","hospital126@example.com","Private"
"Hospital 127","Address 127, Jharsuguda","Sambalpur","Ganjam","+91-7397008143","hospital127@example.com","Private"
"Hospital 128","Address 128, Sambalpur","Jharsuguda","Puri","+91-7544813015","hospital128@example.com","Private"
"Hospital 129","Address 129, Sambalpur","Rourkela","Angul","+91-7595162544","hospital129@example.com","Private"
"Hospital 130","Address 130, Cuttack","Balasore","Ganjam","+91-7989385344","hospital130@example.com","Private"
"Hospital 131","Address 131, Cuttack","Bhubaneswar","Mayurbhanj","+91-7970391253","hospital131@example.com","Private"
"Hospital 132","Address 132, Baripada","Angul","Mayurbhanj","+91-7967223498","hospital132@example.com","Private"
"Hospital 133","Address 133, Sambalpur","Jharsuguda","Angul","+91-7543262784","hospital133@example.com","Private"
"Hospital 134","Address 134, Cuttack","Baripada","Sundargarh","+91-7682092435","hospital134@example.com","Private"
"Hospital 135","Address 135, Rourkela","Berhampur","Ganjam","+91-7693469267","hospital135@example.com","Private"
"Hospital 136","Address 136, Rourkela","Puri","Cuttack","+91-7550700365","hospital136@example.com","Private"
"Hospital 137","Address 137, Sambalpur","Berhampur","Khordha","+91-7202521810","hospital137@example.com","Private"
"Hospital 138","Address 138, Puri","Bhubaneswar","Jharsuguda","+91-7798601594","hospital138@example.com","Private"
"Hospital 139","Address 139, Bhubaneswar","Angul","Cuttack","+91-7461576982","hospital139@example.com","Private"
"Hospital 140","Address 140, Balasore","Balasore","Puri","+91-7647976890","hospital140@example.com","Private"
"Hospital 141","Address 141, Puri","Sambalpur","Puri","+91-7668233257","hospital141@example.com","Private"
"Hospital 142","Address 142, Angul","Angul","Sundargarh","+91-7783647749","hospital142@example.com","Private"
"Hospital 143","Address 143, Baripada","Angul","Puri","+91-7502187641","hospital143@example.com","Private"
"Hospital 144","Address 144, Jharsuguda","Balasore","Angul","+91-7782037126","hospital144@example.com","Private"
"Hospital 145","Address 145, Berhampur","Rourkela","Ganjam","+91-7490415672","hospital145@example.com","Private"
"Hospital 146","Address 146, Baripada","Cuttack","Sambalpur","+91-7671846338","hospital146@example.com","Private"
"Hospital 147","Address 147, Jharsuguda","Jharsuguda","Ganjam","+91-7639087898","hospital147@example.com","Private"
"Hospital 148","Address 148, Jharsuguda","Cuttack","Khordha","+91-7130000158","hospital148@example.com","Private"
"Hospital 149","Address 149, Puri","Rourkela","Sambalpur","+91-7989898259","hospital149@example.com","Private"
"Hospital 150","Address 150, Angul","Balasore","Balasore","+91-7720985238","hospital150@example.com","Private"
"Hospital 151","Address 151, Berhampur","Sambalpur","Balasore","+91-7142907262","hospital151@example.com","Private"
"Hospital 152","Address 152, Bhubaneswar","Cuttack","Cuttack","+91-7512549457","hospital152@example.com","Private"
"Hospital 153","Address 153, Sambalpur","Puri","Khordha","+91-7527838473","hospital153@example.com","Private"
"Hospital 154","Address 154, Jharsuguda","Angul","Mayurbhanj","+91-7758216648","hospital154@example.com","Private"
"Hospital 155","Address 155, Sambalpur","Berhampur","Angul","+91-7119879615","hospital155@example.com","Private"
"Hospital 156","Address 156, Cuttack","Berhampur","Khordha","+91-7599147336","hospital156@example.com","Private"
"Hospital 157","Address 157, Cuttack","Bhubaneswar","Puri","+91-7942060075","hospital157@example.com","Private"
"Hospital 158","Address 158, Bhubaneswar","Rourkela","Ganjam","+91-7204383385","hospital158@example.com","Private"
"Hospital 159","Address 159, Balasore","Puri","Jharsuguda","+91-7586937029","hospital159@example.com","Private"
"Hospital 160","Address 160, Sambalpur","Baripada","Cuttack","+91-7752229804","hospital160@example.com","Private"
"Hospital 161","Address 161, Angul","Jharsuguda","Jharsuguda","+91-7642204276","hospital161@example.com","Private"
"Hospital 162","Address 162, Jharsuguda","Angul","Puri","+91-7655667710","hospital162@example.com","Private"
"Hospital 163","Address 163, Cuttack","Sambalpur","Ganjam","+91-7869867409","hospital163@example.com","Private"
"Hospital 164","Address 164, Rourkela","Jharsuguda","Khordha","+91-7279805857","hospital164@example.com","Private"
"Hospital 165","Address 165, Jharsuguda","Rourkela","Sundargarh","+91-7503370357","hospital165@example.com","Private"
"Hospital 166","Address 166, Jharsuguda","Cuttack","Angul","+91-7456635032","hospital166@example.com","Private"
"Hospital 167","Address 167, Balasore","Sambalpur","Balasore","+91-7357088491","hospital167@example.com","Private"
"Hospital 168","Address 168, Balasore","Sambalpur","Sundargarh","+91-7296559893","hospital168@example.com","Private"
"Hospital 169","Address 169, Angul","Cuttack","Angul","+91-7930960753","hospital169@example.com","Private"
"Hospital 170","Address 170, Baripada","Balasore","Sundargarh","+91-7568209971","hospital170@example.com","Private"
"Hospital 171","Address 171, Jharsuguda","Angul","Jharsuguda","+91-7177611811","hospital171@example.com","Private"
"Hospital 172","Address 172, Bhubaneswar","Sambalpur","Sambalpur","+91-7358707580","hospital172@example.com","Private"
"Hospital 173","Address 173, Balasore","Cuttack","Sundargarh","+91-7575502643","hospital173@example.com","Private"
"Hospital 174","Address 174, Bhubaneswar","Balasore","Jharsuguda","+91-7935806273","hospital174@example.com","Private"
"Hospital 175","Address 175, Rourkela","Bhubaneswar","Sundargarh","+91-7467548639","hospital175@example.com","Private"
"Hospital 176","Address 176, Puri","Baripada","Mayurbhanj","+91-7127303085","hospital176@example.com","Private"
"Hospital 177","Address 177, Rourkela","Berhampur","Sambalpur","+91-7262016765","hospital177@example.com","Private"
"Hospital 178","Address 178, Balasore","Baripada","Mayurbhanj","+91-7699322655","hospital178@example.com","Private"
"Hospital 179","Address 179, Baripada","Jharsuguda","Angul","+91-7631172353","hospital179@example.com","Private"
"Hospital 180","Address 180, Cuttack","Bhubaneswar","Jharsuguda","+91-7460027374","hospital180@example.com","Private"
"Hospital 181","Address 181, Sambalpur","Angul","Mayurbhanj","+91-7787135900","hospital181@example.com","Private"
"Hospital 182","Address 182, Baripada","Sambalpur","Cuttack","+91-7266277783","hospital182@example.com","Private"
"Hospital 183","Address 183, Sambalpur","Jharsuguda","Ganjam","+91-7588718148","hospital183@example.com","Private"
"Hospital 184","Address 184, Sambalpur","Baripada","Khordha","+91-7913932546","hospital184@example.com","Private"
"Hospital 185","Address 185, Berhampur","Berhampur","Sundargarh","+91-7241219004","hospital185@example.com","Private"
"Hospital 186","Address 186, Angul","Sambalpur","Balasore","+91-7681747989","hospital186@example.com","Private"
"Hospital 187","Address 187, Sambalpur","Puri","Khordha","+91-7477934066","hospital187@example.com","Private"
"Hospital 188","Address 188, Baripada","Angul","Sambalpur","+91-7461112898","hospital188@example.com","Private"
"Hospital 189","Address 189, Cuttack","Jharsuguda","Jharsuguda","+91-7709215178","hospital189@example.com","Private"
"Hospital 190","Address 190, Cuttack","Cuttack","Jharsuguda","+91-7814916334","hospital190@example.com","Private"
"Hospital 191","Address 191, Balasore","Baripada","Sundargarh","+91-7970610525","hospital191@example.com","Private"
"Hospital 192","Address 192, Angul","Angul","Sundargarh","+91-7710094287","hospital192@example.com","Private"
"Hospital 193","Address 193, Puri","Sambalpur","Cuttack","+91-7364045492","hospital193@example.com","Private"
"Hospital 194","Address 194, Bhubaneswar","Jharsuguda","Sambalpur","+91-7136527725","hospital194@example.com","Private"
"Hospital 195","Address 195, Cuttack","Cuttack","Puri","+91-7556138633","hospital195@example.com","Private"
"Hospital 196","Address 196, Balasore","Angul","Balasore","+91-7812137740","hospital196@example.com","Private"
"Hospital 197","Address 197, Sambalpur","Cuttack","Cuttack","+91-7408861059","hospital197@example.com","Private"
"Hospital 198","Address 198, Berhampur","Bhubaneswar","Balasore","+91-7976186898","hospital198@example.com","Private"
"Hospital 199","Address 199, Baripada","Bhubaneswar","Khordha","+91-7938248705","hospital199@example.com","Private"
"Hospital 200","Address 200, Sambalpur","Puri","Khordha","+91-7522052769","hospital200@example.com","Private"
"Hospital 201","Address 201, Cuttack","Baripada","Balasore","+91-7579316070","hospital201@example.com","Private"
"Hospital 202","Address 202, Bhubaneswar","Angul","Cuttack","+91-7313356316","hospital202@example.com","Private"
"Hospital 203","Address 203, Sambalpur","Balasore","Puri","+91-7736584524","hospital203@example.com","Private"
"Hospital 204","Address 204, Puri","Berhampur","Ganjam","+91-7378931898","hospital204@example.com","Private"
"Hospital 205","Address 205, Jharsuguda","Cuttack","Puri","+91-7453318123","hospital205@example.com","Private"
"Hospital 206","Address 206, Bhubaneswar","Balasore","Sambalpur","+91-7236963000","hospital206@example.com","Private"
"Hospital 207","Address 207, Balasore","Jharsuguda","Mayurbhanj","+91-7616147729","hospital207@example.com","Private"
"Hospital 208","Address 208, Bhubaneswar","Berhampur","Puri","+91-7949163580","hospital208@example.com","Private"
"Hospital 209","Address 209, Puri","Baripada","Balasore","+91-7298796919","hospital209@example.com","Private"
"Hospital 210","Address 210, Angul","Angul","Balasore","+91-7104530209","hospital210@example.com","Private"
"Hospital 211","Address 211, Puri","Bhubaneswar","Balasore","+91-7310931401","hospital211@example.com","Private"
"Hospital 212","Address 212, Rourkela","Baripada","Puri","+91-7843141077","hospital212@example.com","Private"
"Hospital 213","Address 213, Berhampur","Sambalpur","Angul","+91-7435881327","hospital213@example.com","Private"
"Hospital 214","Address 214, Puri","Puri","Puri","+91-7573849728","hospital214@example.com","Private"
"Hospital 215","Address 215, Baripada","Jharsuguda","Ganjam","+91-7461884075","hospital215@example.com","Private"
"Hospital 216","Address 216, Cuttack","Balasore","Sundargarh","+91-7292505897","hospital216@example.com","Private"
"Hospital 217","Address 217, Puri","Rourkela","Sundargarh","+91-7606045264","hospital217@example.com","Private"
"Hospital 218","Address 218, Bhubaneswar","Angul","Mayurbhanj","+91-7155189912","hospital218@example.com","Private"
"Hospital 219","Address 219, Berhampur","Cuttack","Sambalpur","+91-7830951905","hospital219@example.com","Private"
"Hospital 220","Address 220, Bhubaneswar","Cuttack","Jharsuguda","+91-7479293535","hospital220@example.com","Private"
"Hospital 221","Address 221, Balasore","Berhampur","Angul","+91-7503670584","hospital221@example.com","Private"
"Hospital 222","Address 222, Angul","Cuttack","Ganjam","+91-7731583891","hospital222@example.com","Private"
"Hospital 223","Address 223, Angul","Balasore","Sundargarh","+91-7699144901","hospital223@example.com","Private"
"Hospital 224","Address 224, Cuttack","Bhubaneswar","Angul","+91-7993285194","hospital224@example.com","Private"
"Hospital 225","Address 225, Angul","Balasore","Khordha","+91-7137566332","hospital225@example.com","Private"
"Hospital 226","Address 226, Sambalpur","Sambalpur","Sundargarh","+91-7446687820","hospital226@example.com","Private"
"Hospital 227","Address 227, Baripada","Baripada","Ganjam","+91-7714546792","hospital227@example.com","Private"
"Hospital 228","Address 228, Rourkela","Rourkela","Ganjam","+91-7847730292","hospital228@example.com","Private"
"Hospital 229","Address 229, Rourkela","Cuttack","Balasore","+91-7192449325","hospital229@example.com","Private"
"Hospital 230","Address 230, Rourkela","Cuttack","Ganjam","+91-7623706561","hospital230@example.com","Private"
"Hospital 231","Address 231, Angul","Berhampur","Angul","+91-7284572855","hospital231@example.com","Private"
"Hospital 232","Address 232, Balasore","Cuttack","Jharsuguda","+91-7168440431","hospital232@example.com","Private"
"Hospital 233","Address 233, Angul","Cuttack","Balasore","+91-7697424550","hospital233@example.com","Private"
"Hospital 234","Address 234, Rourkela","Sambalpur","Mayurbhanj","+91-7787987700","hospital234@example.com","Private"
"Hospital 235","Address 235, Berhampur","Sambalpur","Cuttack","+91-7798513046","hospital235@example.com","Private"
"Hospital 236","Address 236, Berhampur","Rourkela","Angul","+91-7857191967","hospital236@example.com","Private"
"Hospital 237","Address 237, Puri","Balasore","Cuttack","+91-7514808737","hospital237@example.com","Private"
"Hospital 238","Address 238, Sambalpur","Berhampur","Cuttack","+91-7190322587","hospital238@example.com","Private"
"Hospital 239","Address 239, Bhubaneswar","Rourkela","Jharsuguda","+91-7810950280","hospital239@example.com","Private"
"Hospital 240","Address 240, Rourkela","Baripada","Angul","+91-7922592362","hospital240@example.com","Private"
"Hospital 241","Address 241, Berhampur","Berhampur","Cuttack","+91-7238285059","hospital241@example.com","Private"
"Hospital 242","Address 242, Sambalpur","Jharsuguda","Ganjam","+91-7245191623","hospital242@example.com","Private"
"Hospital 243","Address 243, Baripada","Puri","Puri","+91-7922818062","hospital243@example.com","Private"
"Hospital 244","Address 244, Baripada","Rourkela","Sambalpur","+91-7211435018","hospital244@example.com","Private"
"Hospital 245","Address 245, Berhampur","Rourkela","Khordha","+91-7276075722","hospital245@example.com","Private"
"Hospital 246","Address 246, Jharsuguda","Cuttack","Cuttack","+91-7266465699","hospital246@example.com","Private"
"Hospital 247","Address 247, Balasore","Jharsuguda","Khordha","+91-7814924509","hospital247@example.com","Private"
"Hospital 248","Address 248, Balasore","Balasore","Angul","+91-7672338956","hospital248@example.com","Private"
"Hospital 249","Address 249, Cuttack","Rourkela","Ganjam","+91-7570661094","hospital249@example.com","Private"
"Hospital 250","Address 250, Jharsuguda","Balasore","Cuttack","+91-7323456698","hospital250@example.com","Private"
